KEY,VALUE,DESCRIPTION
1,GOVT_BOND,na
2,RATING_1,na
3,RATING_2,na
4,RATING_3,na
5,RATING_4,na
6,RATING_5,na
7,RATING_6,na
8,RATING_7,na
9,NON_RATED,na
