KEY,VALUE,DESCRIPTION
1,AC,na
2,IG_Tradable,na
3,HY,na
4,Securitized_CMBS,na
5,DM,na
6,EM,na
7,PE,na
8,Loan_Private_Credit,na
9,Property,na
10,Hedging_Fund,na
11,Convertible_Bond,na
12,QIS,na
13,Loan_Private_Credit_New,na
14,Dummy_2,na
15,Dummy_3,na
16,Dummy_4,na
17,Dummy_5,na
18,Dummy_6,na
19,Dummy_7,na
20,Cash,na
21,Deposit_ST_Govern_Bond,na
22,Seed_Capital,na
23,Other_Asset,na
