ID,PLAN_CODE,SP_CODE,ACCUM,PROJ_TERM_M,TOT_ASSET,TOT_LIAB,LIAB_DUR_PCR,LIAB_DUR_RW,LIAB_COST_PC,INT_BITING
core,core,core,core,core,num,num,num,num,num,txt
1,FUND01,1,FUND,12,731.881407529899,731.881407529899,25.2681487502748,15.134096654946,6.9,INT_DN
